Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройств РЗАИ трансформатора Т2 и АВР Т-2;Т2;110кВ Лиозно;11.01.2021;11.01.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации вторичных цепей ТН-10, 35, 110 кВ;ТН-10 , 35 и 110кВ 1 и 2 с-10 кВ;110кВ Лиозно;09.02.2021;09.02.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации электромагнитной блокировки разъеденителей;Электромагнитной блокировки;110кВ Лиозно;09.02.2021;09.02.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ ВЛ-35кВ;ВЛ-35 кВ на Веляшковичи,Стасево и Добромысли;110кВ Лиозно;10.03.2021;10.03.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации АЧР с АПВЧ;АЧР;110кВ Лучеса;15.11.2021;15.11.2025;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;110кВ Лучеса;02.02.2018;01.02.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита собственных нужд;ЩСН;110кВ Лучеса;31.05.2018;10.03.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ МВ-10кВ КЛ-10кВ, СМВ-10кВ 1-2 (3-4)с, ТН-10кВ 1-4с,ЗДЗ-10кВ 1-4с;РЗА отходящей линии 10 кВ, ТН-10кВ, СМВ-10кВ, ЗДЗ;110кВ Лучеса;05.02.2019;05.02.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации ТН-110 кВ;ТН-110 кВ 1 и 2 с-110 кВ;110кВ Лучеса;19.02.2016;04.02.2024;1;1;0;0;0;0;0;0;0;0;0
"Инструкция по эксплуатации устройств РЗАИ фидеров связи с мини-ТЭЦ ОАО ""Рудаково"" №734 и №760";ВВ-10кВ КЛ-734, 760;110кВ Лучеса;19.02.2016;04.02.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устойств РЗАИ Т-1;Т-1;110кВ Лучеса;10.03.2020;10.03.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устойств РЗАИ Т-2;Т-2;110кВ Лучеса;10.03.2020;10.03.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция автоматики управления ДГК 1-3с.;ДГК-1, 2, 3;110кВ Лучеса;22.06.2020;22.06.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Лучеса;04.11.2016;03.11.2024;0;1;0;0;0;0;0;0;0;0;0
"Инструкция по проверке В/Ч канала ВЧБ ВЛ 110кВ Лучеса-ПС 330 кВ ""Витебская""";"ВЧ канал ВЛ-110 кВ Лучеса-ПС 330 кВ ""Витебская""";110кВ Лучеса;26.11.2020;26.11.2024;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты автоматики, управления и сигнализации СВЭ-110кВ ПС 110/10кВ Лучеса;ВЛ-110кВ Лучеса-Витебск330кВ и Лучеса-Витебская ТЭЦ, автоматики, управления и сигнализации СВЭ-110кВ;110кВ Лучеса;17.03.2021;17.03.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 и Т2;АРН Т1, АРН Т2;110кВ Лучеса;23.04.2021;23.04.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;110кВ Мелькомбинат;17.04.2019;17.04.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аппаратуры  ТН-10кВ 1-6с-10кВ,ТН-110кВ 1-2с-110кВ, ТН-110кВ 1,2с;ТН-10 кВ 1, 2, 3, 4, 5, 6 с-10 кВ;110кВ Мелькомбинат;05.01.2016;04.01.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аппаратуры АЧР;АЧР;110кВ Мелькомбинат;25.03.2020;25.03.2024;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации оперативного тока;Выпрямленного опертока, БПНС-1, 2, 3, 4, БПТ-1, 2 Т1, БПТ-3, 4 Т2, БПН-1, 2;110кВ Мелькомбинат;04.05.2016;17.04.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатацииустройств РЗА отходящих линий 10кВ;Отходящей линии 10 кВ;110кВ Мелькомбинат;17.06.2020;17.06.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА трансформаторов Т1 и Т2;Т1, автоматика обдува Т1/ Т2, автоматика обдува Т2;110кВ Мелькомбинат;23.09.2020;23.09.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Мелькомбинат;23.09.2020;23.09.2024;0;1;0;0;0;0;0;0;0;0;0
